Data;Ora;μg/m3
01/05/2016;11.52.52;0,00
01/05/2016;11.53.52;0,00
01/05/2016;11.54.52;0,00
01/05/2016;11.55.52;0,00
01/05/2016;11.56.52;0,00
01/05/2016;11.57.52;0,00
01/05/2016;11.58.52;0,00
01/05/2016;11.59.52;0,00
01/05/2016;12.00.52;0,00
01/05/2016;12.01.52;0,00
01/05/2016;12.02.52;0,00
01/05/2016;12.03.52;0,00
01/05/2016;12.04.52;0,00
01/05/2016;12.05.52;0,00
01/05/2016;12.06.52;0,00
01/05/2016;12.07.52;0,00
01/05/2016;12.08.52;0,00
01/05/2016;12.09.52;0,00
01/05/2016;12.10.52;0,00
01/05/2016;12.11.52;0,00
01/05/2016;12.12.52;0,00
01/05/2016;12.13.52;0,00
01/05/2016;12.14.52;0,00
01/05/2016;12.15.52;0,00
01/05/2016;12.16.52;0,00
01/05/2016;12.17.52;0,00
01/05/2016;12.18.52;0,00
01/05/2016;12.19.52;0,00
01/05/2016;12.20.52;0,00
01/05/2016;12.21.52;0,00
01/05/2016;12.22.52;0,00
01/05/2016;12.23.52;0,00
01/05/2016;12.24.52;0,00
01/05/2016;12.25.52;0,00
01/05/2016;12.26.52;0,00
01/05/2016;12.27.52;0,00
01/05/2016;12.28.52;0,00
01/05/2016;12.29.52;0,00
01/05/2016;12.30.52;0,00
01/05/2016;12.31.52;0,00
01/05/2016;12.32.52;0,00
01/05/2016;12.33.52;0,00
01/05/2016;12.34.52;0,00
01/05/2016;12.35.52;0,00
01/05/2016;12.36.52;0,00
01/05/2016;12.37.52;0,00
01/05/2016;12.38.52;0,00
01/05/2016;12.39.52;0,00
01/05/2016;12.40.52;0,00
01/05/2016;12.41.52;0,00
01/05/2016;12.42.52;0,00
01/05/2016;12.43.52;0,00
01/05/2016;12.44.52;0,00
01/05/2016;12.45.52;0,00
01/05/2016;12.46.52;0,00
01/05/2016;12.47.52;0,00
01/05/2016;12.48.52;0,00
01/05/2016;12.49.52;0,00
01/05/2016;12.50.52;0,00
01/05/2016;12.51.52;0,00
01/05/2016;12.52.52;0,00
01/05/2016;12.53.52;0,00
01/05/2016;12.54.52;0,00
01/05/2016;12.55.52;0,00
01/05/2016;12.56.52;0,00
01/05/2016;12.57.52;0,00
01/05/2016;12.58.52;0,00
01/05/2016;12.59.52;0,00
01/05/2016;13.00.52;0,00
01/05/2016;13.01.52;0,00
01/05/2016;13.02.52;0,00
01/05/2016;13.03.52;0,00
01/05/2016;13.04.52;0,00
01/05/2016;13.05.52;0,00
01/05/2016;13.06.52;0,00
01/05/2016;13.07.52;0,00
01/05/2016;13.08.52;0,00
01/05/2016;13.09.52;0,00
01/05/2016;13.10.52;0,00
01/05/2016;13.11.52;0,00
01/05/2016;13.12.52;0,00
01/05/2016;13.13.52;0,00
01/05/2016;13.14.52;0,00
01/05/2016;13.15.52;0,00
01/05/2016;13.16.52;0,00
01/05/2016;13.17.52;0,00
01/05/2016;13.18.52;0,00
01/05/2016;13.19.52;0,00
01/05/2016;13.20.52;0,00
01/05/2016;13.21.52;0,00
01/05/2016;13.22.52;0,00
01/05/2016;13.23.52;0,00
01/05/2016;13.24.52;0,00
01/05/2016;13.25.52;0,00
01/05/2016;13.26.52;0,00
01/05/2016;13.27.52;0,00
01/05/2016;13.28.52;0,00
01/05/2016;13.29.52;0,00
01/05/2016;13.30.52;0,00
01/05/2016;13.31.52;0,00
01/05/2016;13.32.52;0,00
01/05/2016;13.33.52;0,00
01/05/2016;13.34.52;0,00
01/05/2016;13.35.52;0,00
01/05/2016;13.36.52;0,00
01/05/2016;13.37.52;0,00
01/05/2016;13.38.52;0,00
