Data;Ora;μg/m3
01/05/2016;08.40.52;1,01
01/05/2016;08.41.53;1,11
01/05/2016;08.42.52;0,97
01/05/2016;08.43.52;1,03
01/05/2016;08.44.52;1,06
01/05/2016;08.45.52;1,09
01/05/2016;08.46.52;0,97
01/05/2016;08.47.52;0,98
01/05/2016;08.48.52;1,05
01/05/2016;08.49.53;1,06
01/05/2016;08.50.52;1,03
01/05/2016;08.51.52;0,99
01/05/2016;08.52.52;1,07
01/05/2016;08.53.52;1,09
01/05/2016;08.54.52;1,02
01/05/2016;08.55.52;1,04
01/05/2016;08.56.52;1,09
01/05/2016;08.57.52;1,01
01/05/2016;08.58.52;1,02
01/05/2016;08.59.53;1,12
01/05/2016;09.00.52;0,95
01/05/2016;09.01.52;1,03
01/05/2016;09.02.52;1,01
01/05/2016;09.03.52;1,08
01/05/2016;09.04.52;0,96
01/05/2016;09.05.52;1,02
01/05/2016;09.06.52;0,90
01/05/2016;09.07.52;1,03
01/05/2016;09.08.53;1,06
01/05/2016;09.09.52;0,98
01/05/2016;09.10.52;1,00
01/05/2016;09.11.52;0,99
01/05/2016;09.12.52;1,07
01/05/2016;09.13.52;1,01
01/05/2016;09.14.52;1,01
01/05/2016;09.15.52;0,98
01/05/2016;09.16.52;0,96
01/05/2016;09.17.52;1,07
01/05/2016;09.18.52;1,04
01/05/2016;09.19.52;1,02
01/05/2016;09.20.52;0,95
01/05/2016;09.21.52;1,07
01/05/2016;09.22.52;0,97
01/05/2016;09.23.52;1,00
01/05/2016;09.24.52;1,02
01/05/2016;09.25.52;0,95
01/05/2016;09.26.52;0,98
01/05/2016;09.27.52;1,01
01/05/2016;09.28.52;0,92
01/05/2016;09.29.52;0,99
01/05/2016;09.30.52;1,09
01/05/2016;09.31.52;0,97
01/05/2016;09.32.52;1,02
01/05/2016;09.33.52;0,99
01/05/2016;09.34.52;0,98
01/05/2016;09.35.52;1,00
01/05/2016;09.36.52;1,02
01/05/2016;09.37.52;1,11
01/05/2016;09.38.52;1,00
01/05/2016;09.39.52;0,89
01/05/2016;09.40.52;0,98
01/05/2016;09.41.52;1,04
01/05/2016;09.42.52;1,14
01/05/2016;09.43.53;0,93
01/05/2016;09.44.52;1,00
01/05/2016;09.45.53;1,17
01/05/2016;09.46.52;0,96
01/05/2016;09.47.53;0,98
01/05/2016;09.48.52;1,03
01/05/2016;09.49.52;0,98
01/05/2016;09.50.52;1,00
01/05/2016;09.51.52;1,00
01/05/2016;09.52.52;0,92
01/05/2016;09.53.53;1,05
01/05/2016;09.54.52;0,96
01/05/2016;09.55.52;0,98
01/05/2016;09.56.53;1,03
01/05/2016;09.57.52;0,94
01/05/2016;09.58.52;0,99
01/05/2016;09.59.52;0,94
01/05/2016;10.00.53;0,97
01/05/2016;10.01.52;0,97
01/05/2016;10.02.52;0,96
01/05/2016;10.03.52;0,95
01/05/2016;10.04.52;0,94
01/05/2016;10.05.52;1,07
01/05/2016;10.06.53;0,93
01/05/2016;10.07.52;0,92
01/05/2016;10.08.52;1,00
01/05/2016;10.09.52;0,92
01/05/2016;10.10.52;1,01
01/05/2016;10.11.52;0,92
01/05/2016;10.12.52;1,05
01/05/2016;10.13.52;1,00
01/05/2016;10.14.52;1,07
01/05/2016;10.15.52;1,00
01/05/2016;10.16.52;1,07
01/05/2016;10.17.52;0,99
01/05/2016;10.18.52;0,89
01/05/2016;10.19.52;1,03
01/05/2016;10.20.52;0,86
01/05/2016;10.21.52;1,03
01/05/2016;10.22.53;1,05
01/05/2016;10.23.52;0,90
01/05/2016;10.24.52;0,91
01/05/2016;10.25.52;0,91
01/05/2016;10.26.52;0,98
01/05/2016;10.27.52;0,88
01/05/2016;10.28.52;0,89
01/05/2016;10.29.52;0,97
01/05/2016;10.30.52;1,06
01/05/2016;10.31.52;0,86
01/05/2016;10.32.52;1,05
01/05/2016;10.33.52;0,98
01/05/2016;10.34.52;0,97
01/05/2016;10.35.52;0,96
01/05/2016;10.36.52;0,91
01/05/2016;10.37.53;1,02
01/05/2016;10.38.52;0,95
01/05/2016;10.39.52;0,93
01/05/2016;10.40.52;1,02
01/05/2016;10.41.52;0,92
01/05/2016;10.42.52;0,96
01/05/2016;10.43.52;0,99
01/05/2016;10.44.52;1,09
01/05/2016;10.45.52;0,88
01/05/2016;10.46.52;0,99
01/05/2016;10.47.52;0,92
01/05/2016;10.48.52;1,02
01/05/2016;10.49.52;0,94
01/05/2016;10.50.52;0,98
01/05/2016;10.51.52;0,88
01/05/2016;10.52.52;0,92
01/05/2016;10.53.52;0,99
01/05/2016;10.54.52;0,99
01/05/2016;10.55.52;0,89
01/05/2016;10.56.52;0,99
01/05/2016;10.57.52;1,03
01/05/2016;10.58.52;1,03
01/05/2016;10.59.52;0,88
01/05/2016;11.00.52;0,99
01/05/2016;11.01.52;0,97
01/05/2016;11.02.52;0,96
01/05/2016;11.03.52;1,00
01/05/2016;11.04.52;0,97
01/05/2016;11.05.52;0,94
01/05/2016;11.06.52;0,99
01/05/2016;11.07.52;0,99
01/05/2016;11.08.52;1,02
01/05/2016;11.09.52;0,98
01/05/2016;11.10.52;0,96
01/05/2016;11.11.52;0,86
01/05/2016;11.12.52;0,89
01/05/2016;11.13.52;0,94
01/05/2016;11.14.52;0,78
01/05/2016;11.15.52;0,86
01/05/2016;11.16.53;0,89
01/05/2016;11.17.52;0,94
01/05/2016;11.18.52;0,86
01/05/2016;11.19.52;0,84
01/05/2016;11.20.52;0,87
01/05/2016;11.21.52;0,85
01/05/2016;11.22.52;0,96
01/05/2016;11.23.52;0,92
01/05/2016;11.24.52;0,93
01/05/2016;11.25.52;0,91
01/05/2016;11.26.52;1,02
01/05/2016;11.27.52;0,83
01/05/2016;11.28.52;0,97
01/05/2016;11.29.52;0,88
01/05/2016;11.30.52;1,00
01/05/2016;11.31.52;0,86
01/05/2016;11.32.53;0,82
01/05/2016;11.33.52;1,00
01/05/2016;11.34.52;0,94
01/05/2016;11.35.52;0,88
01/05/2016;11.36.52;0,87
01/05/2016;11.37.52;1,00
01/05/2016;11.38.52;0,81
01/05/2016;11.39.52;0,98
01/05/2016;11.40.52;0,85
01/05/2016;11.41.52;0,82
01/05/2016;11.42.52;0,82
01/05/2016;11.43.53;0,78
01/05/2016;11.44.52;0,94
01/05/2016;11.45.52;0,81
01/05/2016;11.46.52;0,83
01/05/2016;11.47.52;0,77
01/05/2016;11.48.53;0,85
01/05/2016;11.49.52;0,88
01/05/2016;11.50.52;0,81
01/05/2016;11.51.52;0,80
01/05/2016;11.52.52;0,87
01/05/2016;11.53.52;0,79
01/05/2016;11.54.52;0,73
01/05/2016;11.55.52;0,77
01/05/2016;11.56.52;0,85
01/05/2016;11.57.52;0,85
01/05/2016;11.58.52;0,77
01/05/2016;11.59.52;0,80
01/05/2016;12.00.52;0,83
01/05/2016;12.01.52;0,93
01/05/2016;12.02.52;0,88
